Time $t$ [s]	$T_{ref}$	$T_{all}$
2.733	1.466531207	1.351660245
2.7331	1.466531207	1.351595741
2.7332	1.466531207	1.351595741
2.7333	1.466531207	1.351595741
2.7334	1.466531207	1.351595741
2.7335	1.466531207	1.351595741
2.7336	1.466531207	1.351531241
2.7337	1.466531207	1.351531241
2.7338	1.466531207	1.351531241
2.7339	1.466531207	1.351531241
2.734	1.466531207	1.351531241
2.7341	1.466531207	1.354308033
2.7342	1.466531207	1.354308033
2.7343	1.466531207	1.354308033
2.7344	1.466531207	1.354308033
2.7345	1.466531207	1.354308033
2.7346	1.466531207	1.362021593
2.7347	1.466531207	1.362021593
2.7348	1.466531207	1.362021593
2.7349	1.466531207	1.362021593
2.735	1.466531207	1.362021593
2.7351	1.466531207	1.374257943
2.7352	1.466531207	1.374257943
2.7353	1.466531207	1.374257943
2.7354	1.466531207	1.374257943
2.7355	1.466531207	1.374257943
2.7356	1.466531207	1.38990817
2.7357	1.466531207	1.38990817
2.7358	1.466531207	1.38990817
2.7359	1.466531207	1.38990817
2.736	1.466531207	1.38990817
2.7361	1.466531207	1.407372664
2.7362	1.466531207	1.407372664
2.7363	1.466531207	1.407372664
2.7364	1.466531207	1.407372664
2.7365	1.466531207	1.407372664
2.7366	1.466531207	1.424840031
2.7367	1.466531207	1.424840031
2.7368	1.466531207	1.424840031
2.7369	1.466531207	1.424840031
2.737	1.466531207	1.424840031
2.7371	1.466531207	1.441459743
2.7372	1.466531207	1.441459743
2.7373	1.466531207	1.441459743
2.7374	1.466531207	1.441459743
2.7375	1.466531207	1.441459743
2.7376	1.466531207	1.458659346
2.7377	1.466531207	1.458659346
2.7378	1.466531207	1.458659346
2.7379	1.466531207	1.458659346
2.738	1.466531207	1.458659346
2.7381	1.466531207	1.479500177
2.7382	1.466531207	1.479500177
2.7383	1.466531207	1.479500177
2.7384	1.466531207	1.479500177
2.7385	1.466531207	1.479500177
2.7386	1.466531207	1.49945681
2.7387	1.466531207	1.49945681
2.7388	1.466531207	1.49945681
2.7389	1.466531207	1.49945681
2.739	1.466531207	1.49945681
2.7391	1.466531207	1.515664019
2.7392	1.466531207	1.515664019
2.7393	1.466531207	1.515664019
2.7394	1.466531207	1.515664019
2.7395	1.466531207	1.515664019
2.7396	1.466531207	1.526819244
2.7397	1.466531207	1.526819244
2.7398	1.466531207	1.526819244
2.7399	1.466531207	1.526819244
2.74	1.466531207	1.526819244
2.7401	1.466531207	1.532309583
2.7402	1.466531207	1.532309583
2.7403	1.466531207	1.532309583
2.7404	1.466531207	1.532309583
2.7405	1.466531207	1.532309583
2.7406	1.466531207	1.533293086
2.7407	1.466531207	1.533293086
2.7408	1.466531207	1.533293086
2.7409	1.466531207	1.533293086
2.741	1.466531207	1.533293086
2.7411	1.466531207	1.53350477
2.7412	1.466531207	1.53350477
2.7413	1.466531207	1.53350477
2.7414	1.466531207	1.53350477
2.7415	1.466531207	1.53350477
2.7416	1.466531207	1.537991518
2.7417	1.466531207	1.537991518
2.7418	1.466531207	1.537991518
2.7419	1.466531207	1.537991518
2.742	1.466531207	1.537991518
2.7421	1.466531207	1.544828352
2.7422	1.466531207	1.544828352
2.7423	1.466531207	1.544828352
2.7424	1.466531207	1.544828352
2.7425	1.466531207	1.544828352
2.7426	1.466531207	1.549418542
2.7427	1.466531207	1.549418542
2.7428	1.466531207	1.549418542
2.7429	1.466531207	1.549418542
2.743	1.466531207	1.549418542
2.7431	1.466531207	1.549775733
2.7432	1.466531207	1.549775733
2.7433	1.466531207	1.549775733
2.7434	1.466531207	1.549775733
2.7435	1.466531207	1.549775733
2.7436	1.466531207	1.546159688
2.7437	1.466531207	1.546159688
2.7438	1.466531207	1.546159688
2.7439	1.466531207	1.546159688
2.744	1.466531207	1.546159688
2.7441	1.466531207	1.540031158
2.7442	1.466531207	1.540031158
2.7443	1.466531207	1.540031158
2.7444	1.466531207	1.540031158
2.7445	1.466531207	1.540031158
2.7446	1.466531207	1.535212758
2.7447	1.466531207	1.535212758
2.7448	1.466531207	1.535212758
2.7449	1.466531207	1.535212758
2.745	1.466531207	1.535212758
2.7451	1.466531207	1.536294018
2.7452	1.466531207	1.536294018
2.7453	1.466531207	1.536294018
2.7454	1.466531207	1.536294018
2.7455	1.466531207	1.536294018
2.7456	1.466531207	1.540086857
2.7457	1.466531207	1.540086857
2.7458	1.466531207	1.540086857
2.7459	1.466531207	1.540086857
2.746	1.466531207	1.540086857
2.7461	1.466531207	1.541563893
2.7462	1.466531207	1.541563893
2.7463	1.466531207	1.541563893
2.7464	1.466531207	1.541563893
2.7465	1.466531207	1.541563893
2.7466	1.466531207	1.539009286
2.7467	1.466531207	1.539009286
2.7468	1.466531207	1.539009286
2.7469	1.466531207	1.539009286
2.747	1.466531207	1.539009286
2.7471	1.466531207	1.509928267
2.7472	1.466531207	1.509928267
2.7473	1.466531207	1.509928267
2.7474	1.466531207	1.509928267
2.7475	1.466531207	1.509928267
2.7476	1.466531207	1.48166226
2.7477	1.466531207	1.48166226
2.7478	1.466531207	1.48166226
2.7479	1.466531207	1.48166226
2.748	1.466531207	1.48166226
2.7481	1.466531207	1.45587463
